sub,vowel,F1,F2
CN,heat,302.3,2390.78
AMV,heat,328.9,2962.46
QD,heat,298.82,2992.94
AD,heat,401,2335.64
EP,heat,371.75,2952.28
EL,heat,315.96,2153.95
RB,heat,393.7,3272.9
SS,heat,373.26,3108.01
DN,heat,292.89,2606.02
WZW,heat,247.04,2464.3
SLS,heat,287.49,2943.58
MG,heat,390.02,3161.59
MR,heat,385.5,2746.54
JB,heat,294.42,2890.58
AA,heat,336.47,2985.85
SP,heat,418.27,3157.54
ET,heat,371.8,2618.4
FR,heat,262.72,2694.68
NR,heat,359.77,3016.47
CN,hoot,328.52,1138.56
AMV,hoot,1061.09,2275.3
QD,hoot,315.16,1195.92
AD,hoot,393.99,878.52
EP,hoot,360.37,859.86
EL,hoot,469.36,1279.69
RB,hoot,444.9,1223.1
SS,hoot,308.79,1081.36
DN,hoot,280.27,1012.43
WZW,hoot,779.7,2689.58
SLS,hoot,284.08,1078.3
MG,hoot,454.06,1550.18
MR,hoot,476.46,874.14
JB,hoot,369.83,1251.17
AA,hoot,294.68,1486.44
SP,hoot,409.12,1161.44
ET,hoot,415.3,1282.3
FR,hoot,662.08,1918.9
NR,hoot,412.63,1614.33
CN,hot,790.62,1093.18
AMV,hot,1065.54,1603.96
QD,hot,927.12,1333.79
AD,hot,937.93,1392.42
EP,hot,743.24,1182.43
EL,hot,983.92,1334.31
RB,hot,850.6,1260.2
SS,hot,945.89,1116.58
DN,hot,791.78,1173.77
WZW,hot,918.16,1084.02
SLS,hot,938.67,1616.32
MG,hot,931.07,1555.34
MR,hot,929.91,1375.95
JB,hot,695.09,1060.07
AA,hot,890.02,1231.14
SP,hot,888.33,1289.43
ET,hot,893.2,1191
FR,hot,903.25,1591.87
NR,hot,800.15,1250.57
CN,hate,443.24,2225.84
AMV,hate,352.66,2915.82
QD,hate,363.95,2590.69
AD,hate,506.07,2864.41
EP,hate,402.11,2662.44
EL,hate,481.35,2199.11
RB,hate,393,2611.8
SS,hate,299.16,1216.32
DN,hate,434.55,2598.98
WZW,hate,480.84,2094.04
SLS,hate,405.66,2963.12
MG,hate,484.39,2862.51
MR,hate,474.89,2429.7
JB,hate,393.73,2807.16
AA,hate,468.32,2442.03
SP,hate,422.85,979.12
ET,hate,404.2,2590.3
FR,hate,529.92,2720.17
NR,hate,467.3,2269.37
CN,hut,727.88,1347.71
AMV,hut,1014.92,1952.35
QD,hut,643.79,1595.44
AD,hut,885.99,1850.27
EP,hut,734.88,1372.93
EL,hut,998.35,1594.93
RB,hut,922,1503.2
SS,hut,897.59,1660.27
DN,hut,721.03,1289.78
WZW,hut,929.04,1368.95
SLS,hut,828.5,1165.79
MG,hut,815.93,1726.62
MR,hut,720.98,1465.47
JB,hut,694.17,1551.39
AA,hut,699.97,1763.88
SP,hut,821.8,1633.42
ET,hut,799.5,1564.6
FR,hut,771.72,1700.56
NR,hut,825.86,1465.82