Week,Date,Topic,Reading,Assignment
1,Sep.7,Intro to the course; Acoustics basics; Installing [Praat](http://www.praat.org) and R,,
2,Sep.14,VOT 1; Working with Praat,Lisker & Abramson (1964),A
3,Sep.21,VOT 2: R basics,Cho & Ladefoged,B
4,Sep.28,Vowels,,C
5,Oct.5,Fricatives; Basic analysis with R,Jongman et al.,D
,Oct.12,Reading week-NO CLASS,,E
6,Oct.19,Student paper presentations,,G
7,Oct.26,"Nasals, Nasalization",Narayan,H
8,Nov.2,Coarticulation,,i
9,Nov.9,Tone,XXX,J
10,Nov.16,Voice quality,XXX,K
11,Nov.23,XXX,XXX,L
12,Nov.30,Final project presetations,XXX,M